run	training_set	combo_name	m	precision	recall	f1	max_recall
6	160	basic-type	30	0.883	0.874	0.878	0.926
6	160	str-type	30	0.830	0.874	0.851	0.926
6	160	str-type-lcd	30	0.822	0.874	0.847	0.926
6	200	basic	30	0.787	0.895	0.837	0.926
6	200	basic-type	30	0.883	0.874	0.878	0.926
6	200	str-type	30	0.848	0.884	0.866	0.926
6	200	str-type-lcd	30	0.825	0.895	0.859	0.926
6	240	basic	30	0.755	0.842	0.796	0.926
6	240	basic-type	30	0.865	0.874	0.869	0.926
6	240	str-type	30	0.866	0.884	0.875	0.926
6	240	str-type-lcd	30	0.848	0.884	0.866	0.926
6	280	basic	30	0.770	0.811	0.790	0.926
6	280	basic-type	30	0.882	0.863	0.872	0.926
6	280	str-type	30	0.850	0.895	0.872	0.926
6	280	str-type-lcd	30	0.903	0.884	0.894	0.926
6	320	basic	30	0.778	0.811	0.794	0.926
6	320	basic-type	30	0.903	0.884	0.894	0.926
6	320	str-type	30	0.875	0.884	0.880	0.926
6	320	str-type-lcd	30	0.923	0.884	0.903	0.926
7	40	basic	30	0.680	0.874	0.765	0.926
7	40	basic-type	30	0.721	0.926	0.811	0.926
7	40	str-type	30	0.748	0.905	0.819	0.926
7	40	str-type-lcd	30	0.770	0.916	0.837	0.926
7	80	basic	30	0.738	0.832	0.782	0.926
7	80	basic-type	30	0.761	0.874	0.814	0.926
7	80	str-type	30	0.802	0.895	0.846	0.926
7	80	str-type-lcd	30	0.802	0.895	0.846	0.926
7	120	basic	30	0.725	0.832	0.775	0.926
7	120	basic-type	30	0.787	0.895	0.837	0.926
7	120	str-type	30	0.810	0.895	0.850	0.926
7	120	str-type-lcd	30	0.810	0.895	0.850	0.926
7	160	basic	30	0.745	0.863	0.800	0.926
7	160	basic-type	30	0.792	0.884	0.836	0.926
7	160	str-type	30	0.802	0.895	0.846	0.926
7	160	str-type-lcd	30	0.817	0.895	0.854	0.926
7	200	basic	30	0.770	0.811	0.790	0.926
7	200	basic-type	30	0.866	0.884	0.875	0.926
7	200	str-type	30	0.833	0.895	0.863	0.926
7	200	str-type-lcd	30	0.833	0.895	0.863	0.926
7	240	basic	30	0.773	0.789	0.781	0.926
7	240	basic-type	30	0.840	0.884	0.862	0.926
7	240	str-type	30	0.842	0.895	0.867	0.926
7	240	str-type-lcd	30	0.833	0.895	0.863	0.926
7	280	basic	30	0.765	0.789	0.777	0.926
7	280	basic-type	30	0.892	0.874	0.883	0.926
7	280	str-type	30	0.884	0.884	0.884	0.926
7	280	str-type-lcd	30	0.923	0.884	0.903	0.926
7	320	basic	30	0.786	0.811	0.798	0.926
7	320	basic-type	30	0.883	0.874	0.878	0.926
7	320	str-type	30	0.885	0.895	0.890	0.926
7	320	str-type-lcd	30	0.903	0.884	0.894	0.926
8	40	basic	30	0.737	0.737	0.737	0.926
8	40	basic-type	30	0.804	0.863	0.832	0.926
8	40	str-type	30	0.787	0.895	0.837	0.926
8	40	str-type-lcd	30	0.785	0.884	0.832	0.926
8	80	basic	30	0.784	0.800	0.792	0.926
8	80	basic-type	30	0.854	0.863	0.859	0.926
8	80	str-type	30	0.804	0.863	0.832	0.926
8	80	str-type-lcd	30	0.802	0.853	0.827	0.926
8	120	basic	30	0.755	0.779	0.767	0.926
8	120	basic-type	30	0.872	0.863	0.868	0.926
8	120	str-type	30	0.810	0.853	0.831	0.926
8	120	str-type-lcd	30	0.844	0.853	0.848	0.926
8	160	basic	30	0.760	0.800	0.779	0.926
8	160	basic-type	30	0.891	0.863	0.877	0.926
8	160	str-type	30	0.828	0.863	0.845	0.926
8	160	str-type-lcd	30	0.854	0.863	0.859	0.926
8	200	basic	30	0.750	0.789	0.769	0.926
8	200	basic-type	30	0.875	0.884	0.880	0.926
